﻿主播ID,主播昵称,抖音号,抖音号（原）,火山号,火山号（原）,粉丝数,上次开播时间,签约类型,运营经纪人,招募经纪人,首播时间,入会时间,西瓜号,备注,分成比-直播音浪收益,视频个播有效天,开播总时长,开播有效时长,涨粉,人气峰值,feed看播时长,作品数,视频播放量,视频点赞量,视频评论量,feed_acu,主播标签
3481488105683440,大话西游怀旧小马,58189550110,58189550110,58189550110,58189550110,1189,5小时前,普通主播,星河计划,怀旧服,2025-04-02,2025-06-09,-,免费版直播村,50,1,14小时46分钟44秒,14小时46分钟44秒,10,24,32小时30分钟0秒,2,13151,17,23,2,
1680466136540560,大话西游2_明尊,xy2_mingzun,88412221363,xy2_mingzun,88412221363,16318,17小时前,普通主播,情义计划,,2021-08-02,2023-09-11,-,,50,1,3小时45分钟36秒,3小时40分钟31秒,12,25,32小时15分钟26秒,2,39264,41,80,9,
4023841459275947,广西靓仔（大话西游2免费版）,guangximengs57,2841616667,guangximengs57,1114499975,2057,6小时前,普通主播,星河计划,免费版,2021-07-05,2024-09-25,-,7村-免费版,50,1,3小时12分钟1秒,3小时12分钟1秒,4,42,29小时16分钟15秒,1,947,7,20,9,
1396830657578912,网易企鹅,wyqe123,85686690219,wyqe123,85686690219,2365,1小时前,普通主播,星河计划二十四期,星河计划,2024-08-23,2025-11-22,-,6村,50,1,9小时26分钟10秒,9小时26分钟10秒,9,21,28小时51分钟49秒,2,121,3,4,3,
78689073665,大话2克里斯,145259001,145259001,1312604394,1312604394,5330,20小时前,普通主播,星河计划,怀旧服,2021-02-18,2024-12-20,-,35村-免费版,50,1,1小时49分钟23秒,1小时49分钟23秒,6,61,27小时25分钟35秒,0,667,2,6,15,
99941020189,大话西游2一毛,dhxy2yimao,1036522523,dhxy2yimao,1239943345,15551,6小时前,普通主播,情义计划,,2022-12-05,2023-07-18,-,,50,1,2小时1分钟34秒,2小时1分钟34秒,5,132,27小时0分钟9秒,1,7333,18,16,13,
743704719796557,大话西游2 中、国林州,57327867691,57327867691,57327867691,57327867691,3095,1日前,普通主播,星河计划,星河计划,2022-05-05,2024-03-05,-,1村,50,1,4小时2分钟20秒,4小时2分钟20秒,19,24,26小时52分钟10秒,0,13623,42,88,7,
1198941362732452,大话2免费版老王,wl586710,76035523281,wl586710,76035523281,3714,3日前,普通主播,星河计划-进阶,免费版,2025-05-13,2025-05-07,-,7村-免费版,50,0,0小时45分钟14秒,0小时45分钟14秒,4,56,26小时40分钟19秒,0,186,0,0,35,
63729121286,大话西游2就爱玩几率,83729121286,83729121286,83729121286,83729121286,3879,22小时前,普通主播,星河计划,星河计划,2024-03-14,2024-04-11,-,21村,50,1,1小时24分钟5秒,1小时24分钟5秒,6,41,25小时21分钟15秒,1,1751,8,3,18,
2604115385135736,大话西游2斩风,36115819313,36115819313,36115819313,36115819313,7708,2小时前,普通主播,星河计划-进阶,星河计划,2024-06-26,2024-04-24,-,20村,50,1,2小时54分钟44秒,2小时54分钟44秒,5,33,25小时11分钟5秒,1,6117,11,2,9,
